#options: 1280x720 fps=144/1 timebase=1/144 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3567 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:82 out:80 type:P dur:2 cpbdur:2 q:34.01 aq:27.71 tex:45272 mv:16776 misc:2904 imb:1323 pmb:767 smb:1510 d:s ref:0 ;
in:80 out:81 type:B dur:2 cpbdur:2 q:34.00 aq:27.32 tex:4209 mv:9673 misc:2310 imb:208 pmb:620 smb:2772 d:s ref:0 ;
in:81 out:82 type:b dur:2 cpbdur:2 q:34.00 aq:29.37 tex:3077 mv:8449 misc:1954 imb:126 pmb:573 smb:2901 d:- ref:0 ;
in:85 out:83 type:P dur:2 cpbdur:2 q:33.99 aq:26.73 tex:53344 mv:18080 misc:2824 imb:1452 pmb:807 smb:1341 d:s ref:0 ;
in:83 out:84 type:B dur:2 cpbdur:2 q:34.00 aq:28.00 tex:6158 mv:11150 misc:2364 imb:231 pmb:687 smb:2682 d:s ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:34.00 aq:29.67 tex:4272 mv:9604 misc:2068 imb:132 pmb:647 smb:2821 d:- ref:0 ;
in:88 out:86 type:P dur:2 cpbdur:2 q:33.92 aq:26.85 tex:52086 mv:19056 misc:2826 imb:1419 pmb:854 smb:1327 d:s ref:0 ;
in:86 out:87 type:B dur:2 cpbdur:2 q:33.97 aq:26.87 tex:5933 mv:11099 misc:2360 imb:223 pmb:689 smb:2688 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:33.94 aq:28.21 tex:5042 mv:9568 misc:2134 imb:132 pmb:664 smb:2804 d:- ref:0 ;
in:91 out:89 type:P dur:2 cpbdur:2 q:33.88 aq:26.37 tex:50840 mv:19464 misc:2840 imb:1294 pmb:922 smb:1384 d:s ref:0 ;
in:89 out:90 type:B dur:2 cpbdur:2 q:33.91 aq:26.91 tex:5576 mv:11009 misc:2343 imb:194 pmb:678 smb:2728 d:s ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:33.89 aq:28.89 tex:4012 mv:8965 misc:2071 imb:102 pmb:624 smb:2874 d:- ref:0 ;
in:94 out:92 type:P dur:2 cpbdur:2 q:33.91 aq:25.77 tex:53903 mv:19695 misc:2890 imb:1155 pmb:1005 smb:1440 d:s ref:0 ;
in:92 out:93 type:B dur:2 cpbdur:2 q:33.89 aq:27.39 tex:4317 mv:9911 misc:2212 imb:151 pmb:630 smb:2819 d:s ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:33.90 aq:30.02 tex:3304 mv:8210 misc:1910 imb:75 pmb:573 smb:2952 d:- ref:0 ;
in:97 out:95 type:P dur:2 cpbdur:2 q:33.97 aq:24.96 tex:42579 mv:17501 misc:3192 imb:852 pmb:1122 smb:1626 d:s ref:0 ;
in:95 out:96 type:B dur:2 cpbdur:2 q:33.93 aq:27.72 tex:2353 mv:5998 misc:1689 imb:39 pmb:469 smb:3092 d:s ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:33.95 aq:29.80 tex:1664 mv:4927 misc:1465 imb:30 pmb:407 smb:3163 d:- ref:0 ;
in:100 out:98 type:P dur:2 cpbdur:2 q:34.02 aq:24.95 tex:29065 mv:12943 misc:3384 imb:479 pmb:1080 smb:2041 d:s ref:0 ;
in:98 out:99 type:B dur:2 cpbdur:2 q:33.98 aq:29.29 tex:1325 mv:3666 misc:1257 imb:10 pmb:326 smb:3264 d:t ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:34.00 aq:30.08 tex:1201 mv:3087 misc:1280 imb:9 pmb:306 smb:3285 d:- ref:0 ;
in:103 out:101 type:P dur:2 cpbdur:2 q:34.04 aq:25.44 tex:23328 mv:9263 misc:3081 imb:290 pmb:910 smb:2400 d:s ref:0 ;
in:101 out:102 type:B dur:2 cpbdur:2 q:34.03 aq:31.23 tex:759 mv:2754 misc:1039 imb:8 pmb:260 smb:3332 d:t ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:34.03 aq:34.94 tex:960 mv:2666 misc:1046 imb:7 pmb:266 smb:3327 d:- ref:0 ;
in:106 out:104 type:P dur:2 cpbdur:2 q:34.09 aq:25.05 tex:23534 mv:9639 misc:3123 imb:329 pmb:895 smb:2376 d:s ref:0 ;
in:104 out:105 type:B dur:2 cpbdur:2 q:34.06 aq:31.44 tex:764 mv:2629 misc:1159 imb:10 pmb:277 smb:3313 d:t ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:34.08 aq:31.99 tex:2086 mv:2730 misc:1024 imb:9 pmb:255 smb:3336 d:- ref:0 ;
in:109 out:107 type:P dur:2 cpbdur:2 q:34.22 aq:25.60 tex:24947 mv:10088 misc:3269 imb:363 pmb:978 smb:2259 d:s ref:0 ;
in:107 out:108 type:B dur:2 cpbdur:2 q:34.14 aq:30.95 tex:1841 mv:3111 misc:1144 imb:13 pmb:296 smb:3291 d:t ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:34.18 aq:31.99 tex:1006 mv:1825 misc:841 imb:10 pmb:161 smb:3429 d:- ref:0 ;
in:112 out:110 type:P dur:2 cpbdur:2 q:34.36 aq:25.93 tex:13295 mv:8269 misc:2844 imb:249 pmb:741 smb:2610 d:s ref:0 ;
in:110 out:111 type:B dur:2 cpbdur:2 q:34.27 aq:32.22 tex:651 mv:1316 misc:841 imb:4 pmb:135 smb:3461 d:t ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:34.31 aq:33.51 tex:363 mv:922 misc:587 imb:3 pmb:83 smb:3514 d:- ref:0 ;
in:115 out:113 type:P dur:2 cpbdur:2 q:34.45 aq:26.10 tex:16097 mv:8804 misc:2891 imb:326 pmb:734 smb:2540 d:s ref:0 ;
in:113 out:114 type:B dur:2 cpbdur:2 q:34.39 aq:31.19 tex:830 mv:1249 misc:825 imb:5 pmb:135 smb:3460 d:t ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:34.42 aq:34.58 tex:693 mv:1113 misc:610 imb:3 pmb:97 smb:3500 d:- ref:0 ;
in:118 out:116 type:P dur:2 cpbdur:2 q:34.52 aq:27.65 tex:16667 mv:8623 misc:2814 imb:298 pmb:751 smb:2551 d:s ref:0 ;
in:116 out:117 type:B dur:2 cpbdur:2 q:34.47 aq:29.20 tex:994 mv:2192 misc:1230 imb:15 pmb:237 smb:3348 d:s ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:34.49 aq:33.40 tex:891 mv:2734 misc:1279 imb:4 pmb:284 smb:3312 d:- ref:0 ;
in:121 out:119 type:P dur:2 cpbdur:2 q:34.48 aq:27.41 tex:41994 mv:16935 misc:3095 imb:1199 pmb:874 smb:1527 d:s ref:0 ;
in:119 out:120 type:B dur:2 cpbdur:2 q:34.50 aq:28.80 tex:4855 mv:10001 misc:2624 imb:160 pmb:721 smb:2719 d:s ref:0 ;
